lon,lat,id
-74.7907020617578,11.0229937604698,1
-74.7859634052323,11.0193160200856,2
-74.7819961579085,11.0163954287966,3
-74.7776983066411,11.0132584651298,4
-74.7735106566883,11.0097969491884,5
-74.7697638119936,11.0059026951204,6
-74.7667057255149,11.0023870048722,7
-74.7637302900221,10.9983844756886,8
-74.7615262637311,10.9944900708101,9
-74.7602038479566,10.990379254313,10
-74.7586610295529,10.9849701979725,11
-74.7575590164074,10.9797774106306,12
-74.7571182111492,10.9754500180932,13
-74.7564570032619,10.9705816257235,14
-74.7559059966892,10.9654967747459,15
-74.7556855940601,10.9601954540342,16
